airing_date,broadcast_date,cover_image,demographic,duration,ending_themes,english_title,episodes_number,favorites,genres,id,japanese_title,licensors,members,opening_themes,original_title,popularity,premiered_date,producers,ranked,rating,related_entries,resources_links,score,social_links,source,status,streaming_links,studios,synonyms,synopsis,themes,type
"Dec 1, 2017",,https://cdn.myanimelist.net/images/anime/1131/103773.jpg,,16 min.,,Milf Park,1,64,,36755,ジュヴナイル・ポルノグラフィ THE ANIMATION,Kitty Media,"12,409",,Juvenile Pornography The Animation,#6123,,"MS Pictures,BOOTLEG",N/A,Rx - Hentai,Adaptation (One-shot) - (https://myanimelist.net/manga/109918/Juvenile_Pornography),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=13565,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=24854",6.54,,,Finished Airing,,Office TakeOut,,A boy stumbles upon a beautiful girl reading something in the park. What could she be reading?,,OVA
"Nov 28, 2014",,https://cdn.myanimelist.net/images/anime/2/69969.jpg,Josei,25 min.,,,1,5,"Romance,Fantasy",22295,十三支演義～偃月三国伝～ 外伝 幽州幻夜,,"5,283",'Setsuna (Se-Tsu-Na～刹那～)' by SAY!U!ROCK ver.2.0,Juuza Engi: Engetsu Sangokuden - Gaiden Youzhou Genya,#8682,,Idea Factory,#11702,PG-13 - Teens 13 or older,Adaptation (Manga) - (https://myanimelist.net/manga/46286/Juuza_Engi__Engetsu_Sangokuden),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=10591,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=16548,http://ja.wikipedia.org/wiki/十三支演義_〜偃月三国伝〜#OVA,https://bangumi.tv/subject/93258,https://movie.douban.com/subject/25866285/",5.60,http://jyuza-anime.com,Visual novel,Finished Airing,,"Anpro,teamKG",Juuza Engi: Engetsu Sangokuden OVA,"The Juuza. That is the name given to those of the 13th Zodiac: the cat people. Seen as a vulgar and contemptuous race, they live a life of seclusion away from human eyes. However, as the end of the Han Dynasty draws near, the rise of the Yellow Scarves has thrown the land of the Three Kingdoms into turmoil. As armies converge, a young Juuza woman named Kan'u and her village are forced out of their peaceful lives as Sousou and his punitive force press their way into the village.",,OVA
"Feb 15, 2007 to May 3, 2007",Unknown,https://cdn.myanimelist.net/images/anime/12/21707.jpg,,25 min. per ep.,'PLACE' by Manaka Senri,,12,10,"Action,Sci-Fi",1991,獣装機攻ダンクーガノヴァ,,"6,504","1: 'Tori no Uta (鳥の歌, Bird Song)' by Senri Manaka",Juusou Kikou Dancougar Nova,#7962,Winter 2007,"Sony Pictures Entertainment,Sega",#9915,R+ - Mild Nudity,Spin-Off - (https://myanimelist.net/anime/2255/Choujuu_Kishin_Dancougar ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=4829,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=7306,http://en.wikipedia.org/wiki/J%C5%ABs%C5%8D_Kik%C5%8D_Dancouga_Nova",5.98,http://www.ashipro.co.jp/dancouganova/index.html,Original,Finished Airing,,Ashi Productions,"Kemono Soukikou Dancouga Nova, Juusoukikou Dancougar Nova","In the 22nd century, there are no longer any world wide wars. Instead, small scale wars break out all over the Earth. Meanwhile, a large robot appears who protects the weak. It is called 'Dancougar Nova'. Some even call it God. However, no one knows the reason for its existence - not even its pilots. Then, another robot, beyond anyone's expectations, reveals itself as the true enemy and begins its attack on the Earth. Dancougar Nova retaliates against this enemy with a power that was kept secret until now. Will Dancougar Nova be able to save the Earth? The prelude to this explosive confrontation rings out. (Source: AnimeNfo)",,TV
"Mar 29, 2018 to Sep 20, 2018",Wednesdays at 23:30 (JST),https://cdn.myanimelist.net/images/anime/1897/95230.jpg,,23 min. per ep.,"1: 'Sirius (シリウス)' by BUMP OF CHICKEN (eps 1),2: 'Spica' by BUMP OF CHICKEN (eps 2-26)",Last Hope,26,44,,33531,重神機パンドーラ,,"40,649",'Sirius (シリウス)' by BUMP OF CHICKEN (eps 2-25),Juushinki Pandora,#3681,Spring 2018,,#8095,PG-13 - Teens 13 or older,,"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=12252,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=20354,https://en.wikipedia.org/wiki/Last_Hope_(anime)",6.32,http://www.project-pandora.jp/,Original,Finished Airing,https://www.netflix.com/,Satelight,Unit Pandora,"The series is set in a near-future world where the boundary between human being and AI is vague. A rapid biological evolution, similar to 'Cambrian Explosion,' is caused by one incident. This incident turns into the genesis of a new jostle for supremacy, and the influence of the evolution goes beyond biological framework and spreads to various kinds of materials and technologies. The era of massive evolution involving diverse existences, such as human, machines, and biotechnologies, is coming. Characters fight an existential war in such a world. (Source: ANN)",Mecha,TV
"Mar 11, 1989 to Jan 27, 1990",Unknown,https://cdn.myanimelist.net/images/anime/1809/93956.jpg,,25 min. per ep.,"1: 'The Fire' by Hiroki Yumi (eps 1-28),2: 'Hangyaku no Senshi: Ryuu Dolk no Theme (反逆の戦士~リュウドルクのテーマ~)' by Hiroki Yumi (eps 29-43)",Bio Armor Ryger,43,2,"Action,Sci-Fi",4119,獣神ライガー,,"2,902","1: 'Ikari no Juushin (怒りの獣神)' by Hiroki Yumi,2: 'Kiseki no Juushin (奇跡の獣神)' by Hiroki Yumi",Juushin Liger,#10552,Spring 1989,,#5822,PG-13 - Teens 13 or older,Adaptation (Manga) - (https://myanimelist.net/manga/26034/Juushin_Liger),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=4157,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=138,http://en.wikipedia.org/wiki/Jushin_Liger_(anime)",6.70,http://www.sunrise-inc.co.jp/datacard/card0065.htm,Unknown,Finished Airing,,Sunrise,"Juushin Riger, Jushin Lyger, Beast God Liger","It is 199X A.D. In Kushiro, Hokkaido, three bodies of Dragonite appear. Possessing overwhelming destructive force, they attack the city. They also awaken the evil Jashin Drago from the holy seal he was trapped in. 200 years ago, Drago was trapped in the seal by a holy warrior with the tattooed mark of the Liger. Assuming that the warrior is dead, Drago and Empress Zara are free to conquer the Earth using their army of biomechanical beasts. Even the Japan Self-Defense Forces are no match for the Dragonites' awesome power. One of the people fleeing is the protagonist, a milquetoast 16 year old boy named Ken Taiga. Unbeknownst to the Dragonites, Ken realizes that he is the descendant of the Liger warrior! In a burst of anger, Ken's Liger birthmark appears, and he rises his palm into the air, shouting the henshin command, 'LIGER!!!', which then covers him in demonic long-haired biomechanical armor. Ken transforms into Jushin Liger to fight the evil forces of the Dragonite! (Source: Wikipedia)",Mecha,TV
"Oct 8, 2007 to Mar 31, 2008",Mondays at 02:00 (JST),https://cdn.myanimelist.net/images/anime/7/75193.jpg,Shounen,24 min. per ep.,"1: 'Kakegae no nai Hito e (かけがえのない人へ)' by Mai Hoshimura,2: 'Komorebi no Uta' by HIGH and MIGHTY COLOR",Hero Tales,26,36,"Adventure,Action,Fantasy",2772,獣神演武 - HERO TALES -,Funimation,"28,293","1: 'WINTERLONG' by BEAT CRUSADERS (eps 1-18),2: 'Flashback' by HIGH and MIGHTY COLOR",Juushin Enbu: Hero Tales,#4366,Fall 2007,"Square Enix,Genco,Tohokushinsha Film Corporation",#5244,PG-13 - Teens 13 or older,Adaptation (Manga) - (https://myanimelist.net/manga/2033/Juushin_Enbu),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=5314,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=8281,http://en.wikipedia.org/wiki/Hero_Tales#Anime",6.81,http://www.jyushin.jp/,,Finished Airing,,Studio Flag,"Jyuushin Enbu, Jushin Enbu","For citizens of the Ken Empire, justice is a myth. Lord Keiro, the deranged Shogun of the Imperial Army, blazes a trail of terror across the countryside in search of the sacred sword that will make him a god. Standing in his way is Taito, an omnipotent star reborn in human form—a young hero who vows to use his celestial strength to avenge those slaughtered by the villainous Shogun. Taito's mystical powers steer him toward a violent showdown with Keiro, and if used recklessly, his newfound abilities could shred the very fabric of his being. To master the art of control and become a heroic martial artist, Taito must seek the guidance of others like him: the seven star-born warriors with the strength to shatter a corrupt empire. (Source: RightStuf)",Martial Arts,TV
"Apr 4, 1995 to Sep 26, 1995",Tuesdays at 18:00 (JST),https://cdn.myanimelist.net/images/anime/9/52271.jpg,,23 min. per ep.,'Aitakute Aitakute: Voice of Moon (会いたくて 会いたくて~Voice Of Moon)' by Rika Tajima (田嶋里香),Wild Knights Gulkeeva,26,0,"Action,Fantasy",3099,獣戦士ガルキーバ,,"2,809",'Don't Look Back' by ZNX,Juusenshi Gulkeeva,#10670,Spring 1995,TV Tokyo Music,#8399,PG-13 - Teens 13 or older,,"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=3456,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=145,http://ja.wikipedia.org/wiki/%E7%8D%A3%E6%88%A6%E5%A3%AB%E3%82%AC%E3%83%AB%E3%82%AD%E3%83%BC%E3%83%90",6.27,,Original,Finished Airing,,Sunrise,"Wild Knights Gulkeeva, Jusenshi Gulkeeva","The world we live in is called Earthside in this story. There are the other worlds called Nosfertia, Heavenstia, and Eternalia. When Darknoids from Nosfertia begun invasion to Earthside, Heavenstia sent 3 Animanoids (beast-humans) to prevent it. The lead character Touya had believed that he was a mere human but found he was actually a being of Eternalia. With the help of 3 Animanoids, Touya fights to defend Earthside.",,TV
"Mar 28, 1987",,https://cdn.myanimelist.net/images/anime/3/24615.jpg,,56 min.,'Seiippai no Hohoemi wo (せいいっぱいの微笑みを)' by Jun Hiroe,,1,3,"Action,Sci-Fi",2601,重戦機エルガイムⅢ フルメタル ソルジャー,,"1,776",,Juusenki L-Gaim III: Full Metal Soldier,#12161,,Starchild Records,#7922,PG-13 - Teens 13 or older,Prequel (OVA) - (https://myanimelist.net/anime/2600/Juusenki_L-Gaim_II__Farewell_My_Lovely___Pentagona_Dolls) | Parent Story - (https://myanimelist.net/anime/2598/Juusenki_L-Gaim ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=2489,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=6381,http://en.wikipedia.org/wiki/Heavy_Metal_L-Gaim",6.35,http://www.sunrise-inc.co.jp/datacard/L03.htm,Unknown,Finished Airing,,Sunrise,"Heavy Metal L-Gaim OVA, Heavy Metal L-Gaim III: Full Metal Soldier","A side story taking place somewhere before the second half of the series, prior to Daba acquiring the L-Gaim Mk-II. Daba's comrade Leccee is captured by Poseidal's forces, and Daba and his rebels attempt to save her.",Mecha,OVA
"Jan 10, 1987",,https://cdn.myanimelist.net/images/anime/1119/94289.jpg,,56 min.,,,1,1,"Drama,Adventure,Action,Sci-Fi",2600,重戦機エルガイムII フェアウェル マイ ラブリー+ペンタゴナ ドールズ,,"1,444",,Juusenki L-Gaim II: Farewell My Lovely + Pentagona Dolls,#12792,,Starchild Records,#11225,PG-13 - Teens 13 or older,Prequel (OVA) - (https://myanimelist.net/anime/2599/Juusenki_L-Gaim_I__Pentagona_Window___Lady_Gavlet) | Full Story - (https://myanimelist.net/anime/2598/Juusenki_L-Gaim ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=2488,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=6381,http://en.wikipedia.org/wiki/Heavy_Metal_L-Gaim",5.71,http://www.sunrise-inc.co.jp/datacard/L02.htm,Unknown,Finished Airing,,Sunrise,"Heavy Metal L-Gaim II: Farewell My Lovely + Pentagona Dolls, Heavy Metal L-Gaim OVA","A recap OVA that portrays the second half of the series Heavy Metal L-Gaim. After the credits, there is a short clip animated for the OVA entitled 'Pentagona Dolls', which is intended to be comic relief.",,OVA
"Nov 5, 1986",,https://cdn.myanimelist.net/images/anime/2/3503.jpg,,58 min.,,,1,1,"Drama,Adventure,Action,Sci-Fi",2599,重戦機エルガイムI ペンタゴナ ウインドゥ+レディ ギャブレー,,"1,541",,Juusenki L-Gaim I: Pentagona Window + Lady Gavlet,#12587,,Starchild Records,#11613,PG-13 - Teens 13 or older,Sequel (OVA) - (https://myanimelist.net/anime/2600/Juusenki_L-Gaim_II__Farewell_My_Lovely___Pentagona_Dolls) | Full Story - (https://myanimelist.net/anime/2598/Juusenki_L-Gaim ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=523,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=6381,http://en.wikipedia.org/wiki/Heavy_Metal_L-Gaim",5.62,http://www.sunrise-inc.co.jp/datacard/L01.htm,Unknown,Finished Airing,,Sunrise,Heavy Metal L-Gaim I: Pentagona Window + Lady Gavlet,"A recap OVA that portrays the first half of the series Heavy Metal L-Gaim. After the credits, there is a short clip animated for the OVA entitled 'Lady Gavlet', which is intended to be comic relief.",,OVA
"Feb 4, 1984 to Feb 23, 1985",Saturdays at 17:30 (JST),https://cdn.myanimelist.net/images/anime/3/46129.jpg,,24 min. per ep.,'Starlight Shower (スターライト・シャワー)' by MIO,Heavy Metal L-Gaim,54,19,"Drama,Adventure,Action,Sci-Fi",2598,重戦機エルガイム,,"7,721","1: 'L-Gaim~ TIME FOR L-GAIM (エルガイム-Time for L.GAIM-)' by MIO (eps 1-25),2: 'Kaze no No Reply (風のノー・リプライ)' by Mami Ayukawa (eps 26-54)",Juusenki L-Gaim,#7429,Winter 1984,"Sotsu,Starchild Records",#5622,PG-13 - Teens 13 or older,Summary - (https://myanimelist.net/anime/2599/Juusenki_L-Gaim_I__Pentagona_Window___Lady_Gavlet ; https://myanimelist.net/anime/2600/Juusenki_L-Gaim_II__Farewell_My_Lovely___Pentagona_Dolls ; ) | Other - (https://myanimelist.net/anime/19279/Pony_Metal_U-GAIM_Promotion_Film ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=522,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=878,http://en.wikipedia.org/wiki/Heavy_Metal_L-Gaim",6.74,http://www.sunrise-inc.co.jp/datacard/card0022.htm,Original,Finished Airing,,Sunrise,,"In the year 3990, the immortal Oldna Poseidal rules Pentagona, a war-torn solar system of five planets. Daba Myroad is a survivor of the Yaman Clan, just one of numerous native societies nearly wiped out by the tyrant. Living on the remote planet Koam with his friend Mirao Kyao, Daba possesses L-Gaim, a humanoid mecha known commonly as a 'Heavy Metal' and the last known relic of the Yaman Clan. The pair befriend Fanneria Amu, an aspiring actress, and Lilith Fau, the last surviving fairy in Pentagona while on the run from a band of thieves attempting to steal L-Gaim. Daba promises to fulfill the dying wish of one of the thieves hunting him—an honorable act that leads him to the powerful merchant Amandara Kamandara. With their mission in sight, the ragtag group will face powerful adversaries and become entangled in a rebellion against Poseidal's reign. [Written by MAL Rewrite]",,TV
"Oct 3, 2012 to Sep 25, 2013",Wednesdays at 18:00 (JST),https://cdn.myanimelist.net/images/anime/11/40891.jpg,,22 min. per ep.,"1: 'Jounetsu ELEMENT (情熱ELEMENT)' by SV TRIBE (Aki Misato, Masaaki Endou, Hiroshi Kitadani) (eps 1-26),2: 'Onaji Sekai de (同じ世界で)' by Rey (eps 27-)",Monsuno: World Master,52,46,"Adventure,Action",13185,獣旋バトル モンスーノ,Dentsu Entertainment USA,"9,930","1: 'MONSUNO!' by Rey (eps 1-26),2: 'SPIN GO!' by Rey (eps 27-)",Juusen Battle Monsuno,#6721,Fall 2012,"TV Tokyo,Dentsu,Dentsu Tec",#7224,PG - Children,,"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=9022,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=14731,http://en.wikipedia.org/wiki/Monsuno",6.47,http://www.tv-tokyo.co.jp/anime/monsuno/,Original,Finished Airing,,Larx Entertainment,"Beast Rotation Battle Monsuno, Monsuno: Combat Chaos.","Chase Suno and his friends, Jinja and Bren, are on a search for Chase's father, Jeredy Suno. However, they soon become involved in something else upon reaching their father's lab and becoming involved with an organism known as Monsuno. Chase, choosing to side with his father's work, denies S.T.O.R.M. access to the Monsuno and escapes. They are now on the run from the military organization, S.T.O.R.M., while still looking for Chase's father. However, a mysterious organization also has his eyes set on Chase and the group's Monsuno. (Source: Animeultima)",,TV
1991,,https://cdn.myanimelist.net/images/anime/6/74568.jpg,Kids,27 min.,,,1,0,,31016,十六地蔵物語 ―戦争の犠牲になった子どもたち―,,199,,Juuroku Jizou Monogatari: Sensou no Gisei ni Natta Kodomo-tachi,#21274,,,#16388,G - All Ages,,,N/A,http://www.peace-osaka.or.jp/lending/pdf/peacevideo.pdf,Unknown,Finished Airing,,,,"1 day before the end of WWII for Japan in September 1944 Sadamitsu, Tokushima was under one final air raid. Elementary school boys proceeded to carry out their evacuation policy and many became victims.",Historical,OVA
"Jan 9, 2015 to Mar 27, 2015",Fridays at 02:16 (JST),https://cdn.myanimelist.net/images/anime/11/69085.jpg,,24 min. per ep.,"1: 'Ray of bullet' by Iris Freyja (Rina Hidaka) & Mitsuki Mononobe (Manami Numakura) (eps 1-11),2: 'Ray of bullet' by Iris Freyja (Rina Hidaka), Mitsuki Mononobe (Manami Numakura), Lisa Highwalker (Hisako Kanemoto), Ariella Lu (Sora Tokui), Ren Miyazawa (Fumiko Uchimura), and Tear Lightning (Ayane Sakura) (eps 12)",Unlimited Fafnir,12,174,"Romance,Action,Fantasy",24873,銃皇無尽のファフニール,,"161,269",'FLYING FAFNIR' by TRUSTRICK (Sayaka Kanda & Billy),Juuou Mujin no Fafnir,#1536,Winter 2015,"TBS,Kodansha,DAX Production,Nippon Columbia,Daiichikosho,RAY,Nichion,NichiNare",#8965,PG-13 - Teens 13 or older,Adaptation (Manga) - (https://myanimelist.net/manga/70307/Juuou_Mujin_no_Fafnir),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=10710,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=16302,http://en.wikipedia.org/wiki/Unlimited_Fafnir",6.16,http://www.tbs.co.jp/anime/fafnir/,,Finished Airing,http://www.crunchyroll.com/series-264583,Diomedéa,,"Midgar, all-girl academy, would have been notable just for the action of accepting its first and only male student, Yuu Mononobe. But Midgar stands out for much more than that: it's a school exclusive to a group of girls known as D's. Each of them have extremely powerful abilities in generating dark matter and manipulating it into powerful weaponry. The D's didn't exist twenty-five years ago, and only appeared after a number of mysterious, destructive monsters known as 'Dragons' started appearing around the world. Strangely, just as suddenly as they appeared, they vanished. In their destructive wake, some girls started being born with symbols on their bodies and powers similar in nature to those wielded by the Dragons themselves. Now the D's attend this school, hoping to harness and utilize their powers against the Dragons. Yuu is their latest member and is extraordinary for being the only known male D in existence. Now he must forge relationships with the girls around him, including his long separated sister who attends the school as well, and work with them to investigate and eliminate the threat of the powerful Dragons.",,TV
"Apr 11, 2008 to Jul 11, 2008",,https://cdn.myanimelist.net/images/anime/2/11386.jpg,,29 min. per ep.,,Dirty by the Dozen,2,2,,5522,十二人の女教師,Kitty Media,"2,533",,Juuninin no Onna Kyoushi,#11002,,Digital Works,N/A,Rx - Hentai,,"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=5726,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=10071",5.65,http://www.vanilla-jp.com/catalog/12nin/vol1/main.html,Visual novel,Finished Airing,,Y.O.U.C,"12 Female Teachers, Juuninin no Jukyoushi, Juuninin no Jokyoushi","A horny headmaster and his naughty nephews are out to train twelve teachers to be sex slaves. They'll use any scheme in their arsenal to get the hot lady professors to share their carnal knowledge. But even if the women give their bodies over freely, that doesn't mean they'll just take it lying down. The extracurricular activities are nonstop in every nook and cranny of this institute of lustful learning. (Source: AniDB)",,OVA
"Oct 3, 2017 to Dec 19, 2017",Tuesdays at 23:30 (JST),https://cdn.myanimelist.net/images/anime/5/87684.jpg,,23 min. per ep.,'Keshin no Kemono (化身の獣)' by Do As Infinity,Juni Taisen: Zodiac War,12,703,"Suspense,Action",35076,十二大戦,Funimation,"298,600",'Rapture (ラプチャー)' by Panorama Panama Town (パノラマパナマタウン),Juuni Taisen,#872,Fall 2017,"Sotsu,Mainichi Broadcasting System,AT-X,Studio Mausu,Tokyo MX,Avex Pictures,Shueisha,BS11,GYAO!,A-Sketch",#6848,R - 17+ (violence & profanity),Adaptation (Manga) - (https://myanimelist.net/manga/108873/Juuni_Taisen),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=12956,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=19335,https://en.wikipedia.org/wiki/Juni_Taisen:_Zodiac_War,https://ja.wikipedia.org/wiki/%E5%8D%81%E4%BA%8C%E5%A4%A7%E6%88%A6",6.53,"http://12taisen.com/,https://twitter.com/12taisen",Novel,Finished Airing,"http://www.crunchyroll.com/series-279979,https://www.netflix.com/",Graphinica,"12 Taisen, 12 Wars","Every 12 years, mercenaries who possess the highest caliber of brute strength, cunning wit, and deadly precision gather to participate in the Zodiac Tournament. Each warrior bears the name and attributes of one of the 12 animals of the Chinese zodiac. With their pride and lives on the line, they engage in vicious combat until only the victor remains. The 12th Zodiac Tournament begins in a desolate city, devoid of any evidence of the half million people who recently lived there. To raise the stakes, each warrior ingests a poisonous gem, thus setting a time limit on the tournament—and on their life. With one wish for the victor up for grabs, the Zodiac Warriors start their cutthroat battle for survival. [Written by MAL Rewrite]",,TV
"Apr 7, 1995 to Jan 26, 1996",Unknown,https://cdn.myanimelist.net/images/anime/12/21253.jpg,,25 min. per ep.,"1: 'Aitakute (会いたくて)' by Kiyomi Kobayashi (小林清美) (eps 1-17),2: 'Seiza no Yane no Shita de (星座の屋根の下で)' by Jun Yoneya (eps 18-39)",,39,19,"Comedy,Action,Fantasy",2757,十二戦支　爆烈エトレンジャー,,"2,905",'Mada Mada Mada (まだ まだ まだ)' by Yumiko Shinmei (神奈弓子),Juuni Senshi Bakuretsu Eto Ranger,#10544,Spring 1995,,#4389,PG-13 - Teens 13 or older,,"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=3398,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=5305,http://en.wikipedia.org/wiki/Juuni_Senshi_Bakuretsu_Eto_Ranger",6.99,,Original,Finished Airing,,Shaft,12 Senshi Bakuretsu Eto Ranger,"The Eto Rangers ride in Space-Time Transmitting Machine Kirinda to repair the Novel Worlds of Mugen. The Eto Rangers themselves are anthropomorphic animals, each representing one of the 12 Chinese zodiac animals (and The Twelve Branches in Buddhism). In Japan they are known as the Eto animals. The Novel Worlds are stories created by the human imagination, such as old folk tales as well as newer books. These living worlds play out repeatedly, and are necessary for the good of humanity. Princess Aura rules Mugen, which is an island continent hanging over an ocean from the skybound Novel Pole. The Great God Goal gives her power, but she may never leave the small palace island area. Their nemesis is the forgotten Spirit of Cats, Nyanma (real name, Chocolat), who was excluded from the choice of 12 protectors by being disqualified from the race (in actual legend there are many versions of this story). She seeks her revenge by distorting Novel Worlds with Jarei Monsters. When a Jarei Monster goes to a Novel World they alter the story, turning it into a different version, sometimes a parody of itself. Bakumaru, the Spirit of Mice, must use the Genmakyou mirror to reveal ('Jarei Shouran!') the evil spirit once enough clues lead to its identity. Often the Eto Rangers must play out some of the story to find out who or what it is, sometimes even taking on the role of one of the characters in the tale. After defeating the creature, Kirinda is called when Bakumaru holds up his hand with one of Aura's 12 gems on it and calls out 'Daikourin Kirinda!' Kirinda descends from a dimensional slit and purifies the evil spirit with a beam weapon, calling out 'Jouka!' (Purification). (Source: Wikipedia)",Anthropomorphic,TV
"Apr 9, 2002 to Aug 30, 2003",Unknown,https://cdn.myanimelist.net/images/anime/6/50859.jpg,,25 min. per ep.,"'Getsumei Fuuei' by Arisaka, Mika",The Twelve Kingdoms,45,"2,539","Adventure,Action,Fantasy",153,十二国記,"Media Blasters,Discotek Media","159,543","'Juuni Genmukyoku' by Kunihiko, Ryo",Juuni Kokuki,#1554,Spring 2002,"NHK,Sogo Vision",#645,PG-13 - Teens 13 or older,Adaptation (Light Novel) - (https://myanimelist.net/manga/3807/Juuni_Kokuki),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=26,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=840,http://en.wikipedia.org/wiki/Juuni_Kokuki",8.01,http://www.12kokuki.com/,Novel,Finished Airing,http://www.crunchyroll.com/series-277960,Pierrot,"12 Kingdoms, Juuni Kokki","Youko Nakajima has only ever wanted to be normal. She does what she is asked, gets good grades, is the class president, and even helps her classmates whenever she can—but because of her red hair, she has never fit in. With her pushover attitude, Youko lets classmates take advantage of her, so she has nobody she can really call a friend. But on an otherwise ordinary day, a man who claims to be from another world barges into Youko's classroom and bows before her. This elegant blond-haired man, Keiki, claims that Youko is his master and belongs on the throne of his kingdom. However, their first meeting is cut short as Keiki has been followed by otherworldly beasts called youma. He is able to escape with Youko into his own realm, but two other classmates—Ikuya Asano and Yuka Sugimoto—are caught up in the madness as well. Unfortunately, their troubles have only just begun, as the youma attack leaves them separated from Keiki. Alone in this strange new land, these ordinary students must learn to fend for themselves or die. [Written by MAL Rewrite]",Isekai,TV
"Oct 25, 2020",,https://cdn.myanimelist.net/images/anime/1657/109997.jpg,,1 min.,,,1,1,,43711,十年分の私へ,,"1,652",,Juunenbun no Watashi e,#12391,,Half H.P Studio,#8024,G - All Ages,,,6.33,https://www.esthesite.jp/conceptmovie2020/,Original,Finished Airing,,Flat Studio,,Concept movie for All Nippon Esthetic Association (AEA).,,ONA
"Sep 3, 2010",,https://cdn.myanimelist.net/images/anime/10/52313.jpg,,3 min.,,Cross You and I,1,0,,19481,十字架You and I,,760,,Juujika You and I,#15067,,,N/A,G - All Ages,,http://en.wikipedia.org/wiki/Base_Ball_Bear,5.43,http://www.emimusic.jp/artist/bbb/?action=news&id=6089,Original,Finished Airing,,Kamikaze Douga,,Music video for the song 'Juujika You and I' from the Base Ball Bear's album Cypress Girls. This features vocals reminiscent of Michael Jackson funk.,,
"Nov 16, 2013",,https://cdn.myanimelist.net/images/anime/5/55483.jpg,Kids,1 hr. 20 min.,,,1,0,"Adventure,Fantasy,Sci-Fi",21021,十五少年漂流記 海賊島DE！大冒険,,447,,Juugo Shounen Hyouryuuki: Kaizokujima de! Daibouken,#17395,,Studio Kelmadick,#16387,G - All Ages,Alternative Version - (https://myanimelist.net/anime/5013/Juugo_Shounen_Hyouryuuki ; https://myanimelist.net/anime/9095/Hitomi_no_Naka_no_Shounen__Juugo_Shounen_Hyouryuuki ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=10225,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=15704",N/A,http://www.kaizokujima.com/,Unknown,Finished Airing,,,Miao Xing Shaonian Piaoliu Ji,"The film is based on the Jules Verne novel 'Adrift in the Pacific: Two Years Holiday' published in 1888. A group of youngsters find themselves adrift at sea, and after a terrible storm they are cast upon a deserted island, where they must learn to get along with each other in order to survive. On this occasion, the human protagonists are replaced by cats.",,Movie
"Aug 22, 1982",,https://cdn.myanimelist.net/images/anime/8/9763.jpg,,1 hr. 3 min.,"'Love Me Island (ラブ・ミー・アイランド)' by Yoshiko Hidaka, Koorogi '73",Adrift in the Pacific,1,0,"Drama,Adventure",5013,十五少年漂流記,,986,,Juugo Shounen Hyouryuuki,#14169,,,#10388,G - All Ages,Alternative Version - (https://myanimelist.net/anime/9095/Hitomi_no_Naka_no_Shounen__Juugo_Shounen_Hyouryuuki ; ),"https://anidb.net/perl-bin/animedb.pl?show=anime&aid=2367,https://www.animenewsnetwork.com/encyclopedia/anime.php?id=2309",5.89,,Novel,Finished Airing,,Toei Animation,"Jugo Shonen Hyoryuki, Fifteen Boys Adrift, Two Years' Vacation","Fifteen young students embark on the boat that should lead them to their families on the coasts of New Zealand. Unfortunately the boat loses its anchor and heads to the open sea in the middle of the night without sailors on it. In the morning, a violent storm prevents the children from sailing back to the harbor. A few days later boat grounds on a deserted island in the Pacific ocean. During 20 months the fifteen children will be left alone and will have to get organized in order to survive. They manage to store up food for the cold winter that will be soon there. Briant, Doniphan, and Gordon lead the group of children who find out that a sailor has lived and died on the island 20 years before. (Source: ANN)",Historical,TV Special
